"CID","Km"
2937,0.17
2938,0.45395
2939,0.0063
2944,0.032
2947,0.119
2949,0.033
2951,0.001
2953,0.0077
2975,3.65
2982,0.15
2985,0.067
2987,0.024
2989,0.2
2990,0.1315
2995,1.425
3015,17
3028,0.063
3046,0.22
3047,0.675
3056,0.0083
3067,0.063
3069,0.062
3082,0.16
3088,0.559
3090,0.07
3093,0.095
3112,0.165
3114,0.005008
3134,7.54
3139,1.2047
3149,0.83
3150,0.08
3166,6.8
3167,0.0245
3170,0.05
3175,0.031
3189,3
3196,1.25
3203,0.01
3205,0.00465
3210,1
3227,0.0442
3231,0.01955
3232,0.1575
3233,0.01045
3237,0.0038
3248,0.07
3263,0.001458
3272,0.4
3273,1.1
3283,0.46
3284,2.7
3290,1.3
3296,1.5
3325,0.015
3329,0.01165
3340,0.0605
3345,0.3
3351,0.05
3360,1.055
3373,0.076
3374,0.034
3387,8
3401,0.3
3404,0.225
3410,2.3
3415,0.835
3427,0.0027
3451,0.11425
3453,0.0066
3455,0.019
3463,0.548
3470,0.11
3474,0.015
3479,0.009
3483,0.003
3505,2.8
3514,0.1325
3515,0.012
3516,0.036
3539,0.0022
3557,16.24
3564,0.471
3572,0.1105
3576,0.5
3585,0.1286
3589,0.03
3594,0.045
3598,0.085
3599,0.052
3618,1.625
3626,0.31
3646,0.81
3671,0.0905
3672,0.076
3679,0.333
3683,0.00094
3684,0.001
3688,0.0014
3690,0.005
3692,0.3
3719,0.05
3722,0.0223
3741,0.067
3743,0.71
3748,0.54
3752,4.40565
3758,0.6
3761,1.7
3765,0.54
3766,0.3
3767,0.5
3772,0.0021
3793,0.33
3794,0.00254
3823,0.064
3837,0.026
3838,0.205
3840,0.0042
3846,5
3862,0.4
3871,0.24
3875,0.00103
3892,0.08
3899,0.157
3900,0.67
3912,0.08975
3917,0.074
3918,0.02
3920,2.85
3939,0.02475
3943,1.8
3947,7.2
3981,0.045
3995,0.24
4006,0.115
4033,0.079
4039,1.235
4042,0.0059
4043,0.015
4045,130
4047,0.006
4052,0.032
4062,0.0008
4063,0.0335
4067,1.25
4076,0.181
4081,0.0704
4083,0.0015
4088,0.002315
4091,0.09325
4092,0.23
4105,0.392
4112,0.026
4115,0.152
4125,0.00078
4137,0.85
4145,0.031
4178,0.31
4186,0.29
4197,0.03
4230,0.032
4253,0.001145
4257,1.425
4271,0.0001
4277,3.3
4282,1.4
4291,0.7
4295,0.001
4302,0.0047
4308,0.059
4317,0.018
4330,0.85
4332,0.029
4333,241
4334,0.0001
4348,0.073
4349,0.34
4352,0.78
4377,0.045
4392,0.017
4404,0.51
4409,0.00855
4411,0.0195
4421,1.5
4431,0.381
4434,0.0107
4443,0.007
4453,0.078
4468,0.021
4471,0.36
4477,0.042
4478,0.075
4484,0.0206
