"ENTRY","DELTAG","UNCERTAINTY","REASON ENERGY COULD NOT BE ESTIMATED"
"R04695",-1.76,0.98,
"R04696","Not calculated","Not calculated","Involves groups with unknown energies"
"R04697",-0.8,1.21,
"R04698","Not calculated","Not calculated","Involves unknown structures"
"R04699","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R04700","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R04701","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R04702",-95.83,1.31,
"R04703",-31.71,1.26,
"R04705",-4.36,2.22,
"R04706",-31.71,1.26,
"R04707",-4.36,2.22,
"R04708",-95.83,1.31,
"R04709",0.2,4.81,
"R04710","Not calculated","Not calculated","Involves unknown structures"
"R04711",-4.36,2.22,
"R04712","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R04713",-6.74,2.33,
"R04714",-4.36,2.22,
"R04715",-4.36,2.22,
"R04716","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R04717","Not calculated","Not calculated","Involves unknown structures"
"R04718","Not calculated","Not calculated","Involves unknown structures"
"R04719","Not calculated","Not calculated","Involves unknown structures"
"R04720",0,2,
"R04721",0,2,
"R04722",0,2,
"R04723",-3.61,1.18,
"R04724",16.55,1.19,
"R04725",16.55,1.19,
"R04726",2.16,1.19,
"R04727",-3.24,1.02,
"R04728",4.57,0.76,
"R04729",0,2,
"R04730","Not calculated","Not calculated","Involves unknown structures"
"R04731",-23.95,1.62,
"R04732",1.32,0.73,
"R04733","Not calculated","Not calculated","Involves unknown structures"
"R04734",0.37,3.35,
"R04735","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R04736",0,2,
"R04737",3.76,1.08,
"R04738",2.16,0.77,
"R04739","Not calculated","Not calculated","Involves unknown structures"
"R04740",2.16,0.77,
"R04741",3.76,1.08,
"R04742",7.06,1.09,
"R04743",3.76,1.08,
"R04744",2.16,0.77,
"R04745",3.76,1.08,
"R04746",2.16,0.77,
"R04747",7.06,1.09,
"R04748",3.76,1.08,
"R04749",2.16,0.77,
"R04751","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R04753",16.55,1.19,
"R04754","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R04755","Not calculated","Not calculated","Involves unknown structures"
"R04756",-1.55,0.24,
"R04757",2.3,1.11,
"R04758",2.3,1.11,
"R04759","Not calculated","Not calculated","Charge imbalanced"
"R04760","Not calculated","Not calculated","Involves unknown structures"
"R04761","Not calculated","Not calculated","Involves unknown structures"
"R04762",-4.36,2.22,
"R04763","Not calculated","Not calculated","Charge imbalanced"
"R04764",-4.36,2.22,
"R04768",-31.71,1.26,
"R04769","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R04770","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R04771","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R04772","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R04773","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R04774","Not calculated","Not calculated","Involves unknown structures|Involves compounds with unlabeded atoms"
"R04775","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|Involves compounds with unlabeded atoms"
"R04776",-5.29,1.26,
"R04777",-5.29,1.26,
"R04778",2.3,1.11,
"R04779",-4.5,0.24,
"R04780",-2.32,0.74,
"R04781",1.47,0.9,
"R04782","Not calculated","Not calculated","Involves unknown structures"
"R04783",-3.11,0.69,
"R04784",-20.11,0.9,
"R04785",-2.8,1.2,
"R04786",16.93,1.1,
"R04787",16.93,1.1,
"R04789","Not calculated","Not calculated","Involves groups with unknown energies"
"R04790","Not calculated","Not calculated","Involves unknown structures"
"R04791","Not calculated","Not calculated","Involves unknown structures"
"R04792","Not calculated","Not calculated","Involves groups with unknown energies"
"R04793","Not calculated","Not calculated","Involves groups with unknown energies"
"R04794","Not calculated","Not calculated","Involves unknown structures"
"R04795","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R04796","Not calculated","Not calculated","Involves unknown structures|Involves compounds with unlabeded atoms"
"R04798","Not calculated","Not calculated","Involves unknown structures"
"R04799","Not calculated","Not calculated","Involves unknown structures"
"R04800","Not calculated","Not calculated","Involves unknown structures"
"R04801","Not calculated","Not calculated","Involves unknown structures"
"R04803","Not calculated","Not calculated","Involves unknown structures"
"R04804",-8.82,1.24,
"R04805",5.22,1.07,
"R04806",-92.58,1.28,
"R04807",-92.58,1.28,
"R04808","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R04809",-1.6,0.79,
"R04810",3.76,1.08,
"R04811",5.25,1.09,
"R04812",3.76,1.08,
"R04813",1.6,0.79,
"R04817",13.57,1.55,
"R04818",2.3,1.11,
"R04819",2.3,1.11,
"R04823",13.57,1.55,
"R04824",2.3,1.11,
"R04825",2.3,1.11,
"R04826",-96.19,1.36,
"R04827","Not calculated","Not calculated","Involves unknown structures"
"R04828",-5.29,1.26,
"R04829",2.3,1.11,
"R04830",-2.3,1.11,
"R04831",3.76,1.08,
"R04832",2.3,1.11,
"R04833",2.3,1.11,
"R04834",3.76,1.08,
"R04835",2.3,1.11,
"R04836",2.3,1.11,
"R04837",2.3,1.11,
"R04838",2.3,1.11,
"R04839",2.3,1.11,
"R04840",2.3,1.11,
"R04841","Not calculated","Not calculated","Involves unknown structures"
"R04842",2.3,1.11,
"R04843",2.3,1.11,
"R04844",3.76,1.08,
"R04845",2.3,1.11,
"R04846",2.3,1.11,
"R04847",3.76,1.08,
"R04849",-0.75,1.14,
"R04850",-96.19,1.36,
"R04851",-0.75,1.14,
"R04852","Not calculated","Not calculated","Involves unknown structures"
"R04853",-95.52,1.35,
"R04854",-94.39,1.28,
"R04855",-95.81,1.31,
"R04856",-16.31,1,
"R04857",11.22,1.71,
"R04858",-19.42,2.23,
"R04859",-13.99,2.14,
"R04860","Not calculated","Not calculated","Involves unknown structures"
"R04861","Not calculated","Not calculated","Involves unknown structures|Involves compounds with unlabeded atoms"
"R04862",6.22,1.1,
"R04863",-25.83,1.23,
"R04864","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R04866","Not calculated","Not calculated","Involves unknown structures"
"R04867","Not calculated","Not calculated","Involves unknown structures"
"R04868",-5.76,1.21,
"R04869","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R04870",-23.8,2.22,
"R04872",-98.74,2.25,
"R04874",-4.09,0.6,
"R04875",-3.72,1.49,
"R04876",-6.22,1.1,
"R04877",-33.37,2.36,
"R04878","Not calculated","Not calculated","Atoms imbalanced"
"R04879","Not calculated","Not calculated","Involves unknown structures"
"R04880",5.22,1.07,
"R04881",-4.36,2.22,
"R04882",-9.8,1.18,
"R04883",-9.8,1.18,
"R04884",-62.31,5.39,
"R04885","Not calculated","Not calculated","Charge imbalanced"
"R04886","Not calculated","Not calculated","Involves unknown structures"
"R04887",-4.36,2.22,
"R04888",-9.8,1.18,
"R04889",-9.8,1.18,
"R04890",-24.02,1.04,
"R04891",-9.8,1.18,
"R04892",-9.8,1.18,
"R04893",-24.02,1.04,
"R04894",-23.15,1.36,
"R04895",-8.66,1.13,
"R04896","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R04897","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R04899","Not calculated","Not calculated","Atoms imbalanced"
"R04900",-1.7,0.63,
"R04901",0.75,1.14,
"R04902",-95.83,1.31,
"R04903",-9.8,1.18,
"R04904","Not calculated","Not calculated","Charge imbalanced"
"R04905",-4.36,2.22,
"R04906","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R04907",-35.04,1.95,
"R04908",-35.04,1.95,
"R04909",3.09,0.54,
"R04910",-16.55,1.19,
"R04911",-0.5,1.01,
"R04913","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R04914",-13.79,1.86,
"R04915",-111.68,1.99,
"R04916",-9.8,1.18,
"R04917",-9.8,1.18,
"R04918",4.09,0.6,
"R04919",5.22,1.07,
"R04920","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R04921","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R04922","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R04923","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R04924","Not calculated","Not calculated","Involves unknown structures"
"R04925","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R04927","Not calculated","Not calculated","Involves unknown structures"
"R04928","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R04929","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R04930","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R04931","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R04932","Not calculated","Not calculated","Charge imbalanced|Involves compounds with unlabeded atoms"
"R04933","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|Involves compounds with unlabeded atoms"
"R04934","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R04935","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R04936","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R04937","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R04938","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R04939","Not calculated","Not calculated","Involves unknown structures|Involves compounds with unlabeded atoms"
"R04940","Not calculated","Not calculated","Involves unknown structures|Involves compounds with unlabeded atoms"
"R04941","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R04942","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R04943","Not calculated","Not calculated","Charge imbalanced|Involves compounds with unlabeded atoms"
"R04944","Not calculated","Not calculated","Involves unknown structures|Involves compounds with unlabeded atoms"
"R04945","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R04946","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R04947","Not calculated","Not calculated","Involves unknown structures"
"R04948",-1.7,0.63,
"R04949","Not calculated","Not calculated","Involves unknown structures"
"R04950",-4.05,1.29,
"R04951","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R04952",2.16,1.19,
"R04953",3.76,1.08,
"R04954",2.16,0.77,
"R04955",16.55,1.19,
"R04956",16.55,1.19,
"R04957",2.16,1.19,
"R04958",16.55,1.19,
"R04959",16.55,1.19,
"R04960",2.16,1.19,
"R04961",16.55,1.19,
"R04962",16.55,1.19,
"R04963",2.16,1.19,
"R04964",3.76,1.08,
"R04965",2.16,0.77,
"R04966",16.55,1.19,
"R04967",16.55,1.19,
"R04968",2.16,1.19,
"R04969",16.55,1.19,
"R04970",16.55,1.19,
"R04971","Not calculated","Not calculated","Involves unknown structures"
"R04972","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R04973","Not calculated","Not calculated","Involves unknown structures"
"R04975","Not calculated","Not calculated","Charge imbalanced|Involves compounds with unlabeded atoms"
"R04976","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R04977","Not calculated","Not calculated","Involves unknown structures"
"R04978","Not calculated","Not calculated","Involves unknown structures"
"R04979","Not calculated","Not calculated","Charge imbalanced"
"R04980",-95.83,1.31,
"R04981",-4.36,2.22,
"R04982",-80.83,1.93,
"R04983",-19.42,2.23,
"R04984",-95.44,1.58,
"R04985","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R04986",-0.1,0.66,
"R04987",-95.83,1.31,
"R04988",-4.36,2.22,
"R04989","Not calculated","Not calculated","Charge imbalanced"
"R04990",-19.42,2.23,
"R04992",-39.39,0.95,
"R04993",-19.42,2.23,
"R04994","Not calculated","Not calculated","Involves unknown structures"
"R04995","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R04996",-9.8,1.18,
"R04997","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R04998",-3.11,0.69,
"R04999",-2.6,1.83,
"R05000","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R05001","Not calculated","Not calculated","Atoms imbalanced"
"R05002",-1.7,0.63,
"R05010","Not calculated","Not calculated","Involves unknown structures"
"R05027",-1.7,0.63,
"R05028",-2.09,0.89,
"R05029",-2.2,4.25,
"R05030",-2.09,0.89,
"R05031",13.34,4.27,
"R05032",-1.7,0.63,
"R05033",-2.09,0.89,
"R05034",-2.2,4.25,
"R05035",-3.53,2.41,
"R05036","Not calculated","Not calculated","Involves groups with unknown energies"
"R05037","Not calculated","Not calculated","Involves groups with unknown energies"
"R05038",0.75,1.14,
"R05039",-110.08,0.83,
"R05040","Not calculated","Not calculated","Involves unknown structures"
"R05041","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R05043",0,2,
"R05044","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|Involves compounds with unlabeded atoms"
"R05045","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|Involves compounds with unlabeded atoms"
"R05046",-0.5,1.01,
"R05047","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R05048",0.62,1.3,
"R05049",-9.8,1.18,
"R05050",-9.8,1.18,
"R05051","Not calculated","Not calculated","Charge imbalanced"
"R05052",0,2,
"R05053",0,2,
"R05055",-0.46,0.85,
"R05056",-1.69,0.75,
"R05057",-0.03,0.62,
"R05058",14.53,2.18,
"R05059","Not calculated","Not calculated","Involves unknown structures"
"R05060","Not calculated","Not calculated","Involves unknown structures"
"R05061","Not calculated","Not calculated","Involves unknown structures"
"R05062",38.5,4.43,
"R05063","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R05064",-5.76,1.21,
"R05066",5.22,1.07,
"R05067","Not calculated","Not calculated","Involves unknown structures"
"R05068",6.22,1.1,
"R05069",2.46,0.18,
"R05070",-6.75,0.68,
"R05071",2.46,0.18,
"R05072","Not calculated","Not calculated","Involves unknown structures"
"R05073","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R05074",-4.35,1.47,
"R05075",3.61,1.18,
"R05076",0.05,0.9,
"R05077","Not calculated","Not calculated","Charge imbalanced"
"R05078",2.36,0.82,
"R05079","Not calculated","Not calculated","Charge imbalanced"
"R05080",1.7,0.63,
"R05081",0,2,
"R05083",3.11,0.69,
"R05084","Not calculated","Not calculated","Involves unknown structures"
"R05085",0,2,
"R05086",-2.32,0.74,
"R05087",-3.09,0.54,
"R05088","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R05089","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R05090","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R05091","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R05092","Not calculated","Not calculated","Involves groups with unknown energies"
"R05097",-106.47,0.78,
"R05098","Not calculated","Not calculated","Charge imbalanced"
"R05099",-9.8,1.18,
"R05100",14.84,1.33,
"R05102","Not calculated","Not calculated","Involves unknown structures"
"R05103",-2.16,1.19,
"R05104",-1.01,0.45,
"R05105",-4.5,0.24,
"R05106","Not calculated","Not calculated","Involves unknown structures"
"R05107",1.7,0.63,
"R05108",-1.7,0.63,
"R05109",-1.7,0.63,
"R05110",-1.7,0.63,
"R05111",-1.7,0.63,
"R05112",-3.11,0.69,
"R05113",-1.7,0.63,
"R05114",-1.7,0.63,
"R05115",3.11,0.69,
"R05116",-1.7,0.63,
"R05117",-3.11,0.69,
"R05118","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R05119",-9.8,1.18,
"R05120",-53.52,4.47,
"R05121",38.5,4.43,
"R05122",-48.84,4.87,
"R05123",-4.36,2.22,
"R05124",0.75,1.14,
"R05125","Not calculated","Not calculated","Involves groups with unknown energies"
"R05126","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R05127","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R05128",9.42,1.35,
"R05129","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R05130",-6.07,1.23,
"R05131","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R05132",-13.89,0.95,
"R05133",-3.11,0.69,
"R05134",-3.11,0.69,
"R05135",-7.73,2.15,
"R05136","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R05137",-10.98,1.89,
"R05138",13.46,0.87,
"R05140","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R05141",-3.11,0.69,
"R05142",-3.11,0.69,
"R05144","Not calculated","Not calculated","Involves unknown structures"
"R05145","Not calculated","Not calculated","Involves unknown structures"
"R05146",3.61,1.18,
"R05147",2.01,1.7,
"R05148",-70.46,2,
"R05149","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R05150","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R05151","Not calculated","Not calculated","Involves unknown structures"
"R05152","Not calculated","Not calculated","Involves unknown structures"
"R05153",-103.72,1.6,
"R05154",-94.61,1.29,
"R05155",-112.92,2.13,
"R05156",-92.12,1.37,
"R05157",-61.21,2.79,
"R05158",-95.83,1.31,
"R05160",-96.19,1.36,
"R05162",-4.36,2.22,
"R05163","Not calculated","Not calculated","Involves unknown structures"
"R05164",-1.7,0.63,
"R05165","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R05166",-3.11,0.69,
"R05167",-1.7,0.89,
"R05168",-2,0.98,
"R05169",5.19,1.78,
"R05170",-4.72,0.88,
"R05171",7.45,0.83,
"R05172",2.47,0.74,
"R05173",-1.67,0.61,
"R05174",-6.26,0.85,
"R05175","Not calculated","Not calculated","Involves unknown structures"
"R05176",0,2,
"R05177","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R05179","Not calculated","Not calculated","Involves unknown structures"
"R05180","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R05181","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R05182","Not calculated","Not calculated","Involves unknown structures"
"R05183","Not calculated","Not calculated","Involves unknown structures"
"R05185","Not calculated","Not calculated","Involves unknown structures"
"R05186","Not calculated","Not calculated","Involves unknown structures"
"R05188","Not calculated","Not calculated","Involves unknown structures"
"R05189","Not calculated","Not calculated","Involves unknown structures"
"R05190","Not calculated","Not calculated","Involves unknown structures"
"R05191","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R05193","Not calculated","Not calculated","Involves unknown structures"
"R05196","Not calculated","Not calculated","Involves unknown structures"
"R05197",-6.35,0.86,
"R05198",-37.94,4.49,
"R05199",-13.89,0.95,
"R05200",-13.69,2,
"R05201","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R05202",4.5,0.24,
"R05203","Not calculated","Not calculated","Involves unknown structures"
"R05204","Not calculated","Not calculated","Atoms imbalanced"
"R05205","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R05206","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R05207",0.46,0.85,
"R05208",-20.37,6.06,
"R05209",-2.14,0.68,
"R05210",92.71,1.63,
"R05211",-6.74,2.33,
"R05212",-4.36,2.22,
"R05213",-4.36,2.22,
"R05214",-4.36,2.22,
"R05215",92.71,1.63,
"R05216",-6.74,2.33,
"R05217","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R05218","Not calculated","Not calculated","Charge imbalanced|Involves compounds with unlabeded atoms"
"R05219","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R05220","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R05221","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R05222","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R05223","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R05224","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R05225","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R05226","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R05227","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R05228",216.73,1.86,
"R05229",106.47,0.78,
"R05230",-7.3,0.71,
"R05231",5.22,1.07,
"R05232",3.67,1.1,
"R05233","Not calculated","Not calculated","Charge imbalanced"
"R05234","Not calculated","Not calculated","Charge imbalanced"
"R05235",-9.8,1.18,
"R05236",-18.76,1.35,
"R05237","Not calculated","Not calculated","Charge imbalanced"
"R05238","Not calculated","Not calculated","Charge imbalanced"
"R05239",-5.74,2.11,
"R05240",-11.78,2.08,
"R05241",-5.74,2.11,
"R05243",-16.6,2.03,
"R05244",-12.56,1.95,
"R05245",-74.46,1.66,
"R05246",-72.89,1.45,
"R05247",-71.1,1.92,
"R05248",-72.03,1.79,
"R05249",-95.83,1.31,
"R05250",95.83,1.31,
"R05251","Not calculated","Not calculated","Charge imbalanced"
"R05252","Not calculated","Not calculated","Charge imbalanced"
"R05253",-11.78,2.08,
"R05254",-11.78,2.08,
"R05255","Not calculated","Not calculated","Involves unknown structures"
"R05256",-68.76,1.83,
"R05257",-72.03,1.79,
"R05258","Not calculated","Not calculated","Involves groups with unknown energies"
"R05259","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R05260","Not calculated","Not calculated","Involves unknown structures"
"R05261",-77.14,2.08,
"R05262",-77.14,2.08,
"R05263",-80.82,2.25,
"R05264",-80.82,2.25,
"R05265","Not calculated","Not calculated","Charge imbalanced|Involves groups with unknown energies"
"R05266",-96.26,1.54,
"R05267","Not calculated","Not calculated","Involves groups with unknown energies"
"R05268","Not calculated","Not calculated","Charge imbalanced|Involves groups with unknown energies"
"R05269","Not calculated","Not calculated","Involves groups with unknown energies"
"R05270","Not calculated","Not calculated","Atoms imbalanced|Involves compounds with unlabeded atoms"
"R05271",3.67,1.1,
"R05272",-9.8,1.18,
"R05273",118.58,1.28,
"R05274",-102.2,1.43,
"R05275",-11.78,2.08,
"R05276","Not calculated","Not calculated","Involves groups with unknown energies"
"R05277","Not calculated","Not calculated","Charge imbalanced"
"R05278",-95.64,1.59,
"R05279","Not calculated","Not calculated","Charge imbalanced"
"R05280","Not calculated","Not calculated","Charge imbalanced"
"R05281",-92.58,1.28,
"R05282",3.67,1.1,
"R05283",5.22,1.07,
"R05284","Not calculated","Not calculated","Involves groups with unknown energies"
"R05285",-38.5,4.43,
"R05286",-9.8,1.18,
"R05287","Not calculated","Not calculated","Involves groups with unknown energies"
"R05288",-96.26,1.54,
"R05289",-9.8,1.18,
"R05290",-70.46,2,
"R05291",-70.46,2,
"R05292",-12.52,2.06,
"R05293",-12.52,2.06,
"R05294",-83.04,1.52,
"R05295",-72.01,1.62,
"R05296",-12.64,1.28,
"R05297",-3.71,0.73,
"R05298",-0.75,0.29,
"R05299",-95.64,1.59,
"R05300",0.39,1.44,
"R05301",-110.26,1.3,
"R05302","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R05303",4.36,2.22,
"R05304",0,2,
"R05305",3.76,1.08,
"R05307",-5.25,1.59,
"R05308",-9.83,1.66,
"R05309",-12.52,2.06,
"R05310",-22.14,2.7,
"R05311",16.55,1.19,
"R05312",-22.14,2.7,
"R05313",-10.56,1.98,
"R05314",-12.52,2.06,
"R05315",2.3,1.11,
"R05316","Not calculated","Not calculated","Involves unknown structures"
"R05317",-21.78,1.06,
"R05318","Not calculated","Not calculated","Involves unknown structures"
"R05319",-84.68,1.21,
"R05320",-104.66,1.18,
"R05321",-90.67,1.62,
"R05322",-90.67,1.62,
"R05323",-4.36,2.22,
"R05324","Not calculated","Not calculated","Involves unknown structures"
"R05325","Not calculated","Not calculated","Involves unknown structures"
"R05326",-0.8,0.68,
"R05327","Not calculated","Not calculated","Involves unknown structures|Involves compounds with unlabeded atoms"
"R05328",-1.7,0.63,
"R05329",-4.98,1.04,
"R05330",5.25,1.09,
"R05331",0.2,4.81,
"R05332",-5.29,1.26,
"R05333",0,2,
"R05334",-24.02,1.04,
"R05335",-5.6,1.5,
"R05336",-1.54,0.52,
"R05337",1.24,0.67,
"R05338",-5.22,0.54,
"R05339",-1.75,1.29,
"R05340","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R05341",-20.13,1.46,
"R05344","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R05345","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R05346","Not calculated","Not calculated","Involves unknown structures"
"R05347",3.67,1.1,
"R05348",3.67,1.1,
"R05349",-0.8,1.21,
"R05350",-0.8,1.21,
"R05351",-22.26,2.36,
"R05352","Not calculated","Not calculated","Involves unknown structures"
"R05353",-9.8,1.18,
"R05354",-10.56,1.98,
"R05355","Not calculated","Not calculated","Involves groups with unknown energies"
"R05356",-2.24,1.58,
"R05357",-3.9,1.68,
"R05358",0.25,5.05,
"R05359",-11.92,0.71,
"R05360",-11.92,0.71,
"R05361",-2.14,0.68,
"R05362",-11.92,0.71,
"R05363",-11.92,0.71,
"R05364",-11.92,0.71,
"R05365",-11.92,0.71,
"R05366",-11.92,0.71,
"R05367","Not calculated","Not calculated","Involves groups with unknown energies"
"R05368","Not calculated","Not calculated","Involves groups with unknown energies"
"R05369","Not calculated","Not calculated","Involves groups with unknown energies"
"R05370","Not calculated","Not calculated","Involves groups with unknown energies"
"R05371","Not calculated","Not calculated","Involves groups with unknown energies"
"R05372","Not calculated","Not calculated","Involves groups with unknown energies"
"R05373",-3.09,0.54,
"R05374",3.41,0.87,
"R05375",-0.1,0.66,
"R05376",3.09,0.54,
"R05377",-0.98,0.73,
"R05378",2.56,0.38,
"R05379",-4.98,4.98,
"R05380",101.79,9.55,
"R05381",7.34,1.07,
"R05382",-4.69,1.57,
"R05383",6.44,0.7,
"R05384","Not calculated","Not calculated","Involves groups with unknown energies"
"R05385","Not calculated","Not calculated","Involves groups with unknown energies"
"R05386","Not calculated","Not calculated","Involves groups with unknown energies"
"R05387","Not calculated","Not calculated","Involves groups with unknown energies"
"R05388","Not calculated","Not calculated","Involves groups with unknown energies"
"R05389",-4.39,0.98,
"R05390","Not calculated","Not calculated","Involves groups with unknown energies"
"R05391","Not calculated","Not calculated","Involves groups with unknown energies"
"R05392","Not calculated","Not calculated","Involves groups with unknown energies"
"R05393","Not calculated","Not calculated","Involves groups with unknown energies"
"R05394",0.52,1.35,
"R05395",-11.78,2.08,
"R05396",-11.78,2.08,
"R05397",-11.78,2.08,
"R05398","Not calculated","Not calculated","Involves unknown structures"
"R05399",-12.95,2.2,
"R05400","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R05401","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R05402","Not calculated","Not calculated","Involves groups with unknown energies"
"R05403","Not calculated","Not calculated","Involves groups with unknown energies"
"R05404",-69.64,1.6,
"R05405",-71.65,1.5,
"R05406",-72.01,1.62,
"R05407",-94.76,1.81,
"R05408","Not calculated","Not calculated","Involves groups with unknown energies"
"R05409",-94.76,1.81,
"R05410",-58.52,2.82,
"R05411",-74.46,1.66,
"R05412",-61.79,2.87,
"R05413",-95.78,1.91,
"R05414",-82.11,3.17,
"R05415",-74.46,1.66,
"R05416",-72.91,1.57,
