"smiles","cid","compound name","dG0","dH0","charge","hydrogens","Mg","use for","ref","remark"
"C(C(CO)O)O",116,"Glycerol",-497.48,-676.55,0,8,0,"train","Alberty (2003)",
"C([C@H]([C@H]([C@H](C=O)O)O)O)OP(=O)([O-])[O-]",117,"D-Ribose 5-phosphate",-1582.57,-2041.48,-2,9,0,"train","Alberty (2003)",
"C([C@H]([C@H]([C@H](C=O)O)O)O)OP(=O)([O-])O",117,"D-Ribose 5-phosphate",-1620.75,-2030.18,-1,10,0,"train","Alberty (2003)",
,117,"D-Ribose 5-phosphate",-1595.78,,-2,9,0,"skip","Alberty (2003) beta","double entry"
,117,"D-Ribose 5-phosphate",-1633.96,,-1,10,0,"skip","Alberty (2003) beta","double entry"
"C(=O)[C@@H](COP(=O)([O-])[O-])O",118,"Glyceraldehyde-3-phosphate",-1288.6,,-2,5,0,"train","Alberty (2003)",
"C(=O)[C@@H](COP(=O)([O-])O)O",118,"Glyceraldehyde-3-phosphate",-1321.14,,-1,6,0,"train","Alberty (2003)",
"C(C1C(C(C(O1)OP(=O)([O-])OP(=O)([O-])[O-])O)O)OP(=O)([O-])[O-]",119,"D-Ribose 5-phospho 1-diphosphate",-3284.25,,-5,8,0,"train","Alberty (2003) beta",
"C(C1C(C(C(O1)OP(=O)([O-])OP(=O)([O-])O)O)O)OP(=O)([O-])[O-]",119,"D-Ribose 5-phospho 1-diphosphate",-3325.23,,-4,9,0,"train","Alberty (2003) beta",
"C(C1C(C(C(O1)OP(=O)([O-])OP(=O)([O-])O)O)O)OP(=O)([O-])O",119,"D-Ribose 5-phospho 1-diphosphate",-3363.42,,-3,10,0,"train","Alberty (2003) beta",
"C([C@@H]1[C@H]([C@H](C(O1)O)O)O)O",121,"D-Ribose",-738.79,-1034,0,10,0,"train","Alberty (2003)",
,121,"D-Ribose",-752,,0,10,0,"skip","Alberty (2003) beta","double entry"
"C(=CC(=O)[O-])C(=O)[O-]",122,"Fumarate",-601.87,-777.39,-2,2,0,"train","Alberty (2003)",
"C(=CC(=O)[O-])C(=O)O",122,"Fumarate",-628.14,-774.46,-1,3,0,"train","Alberty (2003)",
"C(=CC(=O)O)C(=O)O",122,"Fumarate",-645.8,-774.88,0,4,0,"train","Alberty (2003)",
"CC(C)C[C@@H](C(=O)[O-])[NH3+]",123,"L-Leucine",-352.25,-643.37,0,13,0,"train","Alberty (2003)",
"C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O",124,"D-Galactose",-908.93,-1255.2,0,12,0,"train","Alberty (2003)",
,125,"Cytochrome c(ox)",0,,3,0,0,"test","Alberty (2003)",
,126,"Cytochrome c(red)",-24.51,,2,0,0,"test","Alberty (2003)",
,127,"Glutathione(ox)",0,,-2,30,0,"test","Alberty (2003)",
,130,"IMP",-1255.42,,-2,11,0,"test","Alberty (2003) beta",
,130,"IMP",-1293.84,,-1,12,0,"test","Alberty (2003) beta",
,132,"Methanol",-175.31,-245.93,0,4,0,"test","Alberty (2003)",
,138,"Ferredoxin(red)",38.07,,0,0,0,"test","Alberty (2003)",
,139,"Ferredoxin(ox)",0,,1,0,0,"test","Alberty (2003)",
,144,"GMP",-789.59,,-3,11,0,"test","Alberty (2003) beta","Guanosine0=0"
,144,"GMP",-846.27,,-2,12,0,"test","Alberty (2003) beta","Guanosine0=0"
,144,"GMP",-884.69,,-1,13,0,"test","Alberty (2003) beta","Guanosine0=0"
"c1nc2c(N)[nH+]c[nH]c2n1",147,"Adenine",286.7,,1,6,0,"train","Alberty (2003)",
"c1nc2c(N)nc[nH]c2n1",147,"Adenine",310.67,,0,5,0,"train","Alberty (2003)",
,147,"Adenine",313.4,,0,5,0,"skip","Alberty (2003) beta","double entry (also measured as dG=310.67)"
"C([C@@H](C(=O)[O-])O)C(=O)[O-]",149,"L-Malate",-842.66,,-2,4,0,"train","Alberty (2003)",
"C([C@@H](C(=O)[O-])O)C(=O)O",149,"L-Malate",-872.68,,-1,5,0,"train","Alberty (2003)",
"C([C@@H](C(=O)[O-])[NH3+])C(N)=O",152,"L-Asparagine",-525.93,-766.09,0,8,0,"train","Alberty (2003)",
"C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O",158,"Citrate",-1162.69,-1515.11,-3,5,0,"train","Alberty (2003)",
"C(C(=O)[O-])C(CC(=O)[O-])(C(=O)O)O",158,"Citrate",-1199.18,-1518.46,-2,6,0,"train","Alberty (2003)",
"C(C(=O)[O-])C(CC(=O)O)(C(=O)O)O",158,"Citrate",-1226.33,-1520.88,-1,7,0,"train","Alberty (2003)",
"C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O",159,"D-Mannose",-910,-1258.66,0,12,0,"train","Alberty (2003)",
"C(C(=O)[O-])O",160,"Glycolate",-530.95,,-1,3,0,"train","Alberty (2003)",
"CC(=O)CC(=O)[O-]",164,"Acetoacetate",-482.49,,-1,5,0,"train","Alberty (2003) beta",
"C(C(=O)C(=O)[O-])O",168,"Hydroxypyruvate",-608.55,,-1,3,0,"test","Alberty (2003) beta",
"C(=O)(N)OP(=O)([O-])[O-]",169,"Carbamoyl-P",-1231.95,,-2,2,0,"test","Alberty (2003) beta",
"C(=O)(N)OP(=O)(O)[O-]",169,"Carbamoyl-P",-1281.5,,-1,3,0,"test","Alberty (2003) beta",
"C(=O)(N)OP(=O)(O)O",169,"Carbamoyl-P",-1310.73,,0,4,0,"test","Alberty (2003) beta","Pi is fully protonated - ASSUMPTION"
,178,"Thymine",349.99,,-1,5,0,"test","Alberty (2003) beta","Cytidine0=0"
