"cid","log10(Km)"
410,-1.98927613460823
411,-1.66837028237007
412,-2.10100072911021
413,0.243077753795291
414,-2.64781748188864
415,-2.54515513999149
416,-0.712198270069774
417,-1.79588001734408
418,-0.823908740944319
423,-0.698970004336019
424,0
427,-1.77858576215766
429,-0.619788758288394
430,-0.585026652029182
433,-1
436,0.708420900134713
437,-0.0969100130080564
438,-0.490797477668897
439,0.763427993562937
440,-1.22914798835786
441,-0.738737131207506
445,-0.920818753952375
446,-0.184588298124669
447,-1.95860731484178
448,-2.60205999132796
449,0.0969100130080564
455,-0.853871964321762
458,-0.71669877129645
459,-1.47495519296315
460,-1.95860731484178
461,0.643452676486187
463,-1.17246918910466
464,-2
466,0.518513939877887
468,-2.21824462534753
469,2.19110153791759
470,-0.65777477063921
473,-1.8843894883257
474,1.40053798939195
475,-0.351396071864719
476,1.11394335230684
477,-3.14874165128092
479,0.747023177451628
481,1.86923171973098
482,-2.27984069659404
483,-1.52287874528034
486,-1.22548303427145
487,-0.590912630552165
488,1.23172438332852
491,-0.0969100130080564
492,0.749736315569061
493,-0.1249387366083
495,-2.1249387366083
497,0.0737183503461227
498,-0.525055664534612
499,0.586587304671755
500,-2.60205999132796
501,-1.17230771132555
502,0.474216264076255
503,-0.0574958938319193
504,-2.17392519729917
506,0.732393759822968
507,0.68930885912362
508,0.764381644828871
509,-1.38195190328791
510,-2.34198860334289
511,1
512,-1.47820835036088
513,1.47835301120059
514,1.03542973818455
515,-0.346787486224656
517,-1.49485002168009
521,-1.69897000433602
522,-0.903089986991943
523,-1.77728352885242
525,0.0501863496753608
526,-0.721246399047171
527,-2.30102999566398
530,1.89762709129044
532,1.25527250510331
533,-2.00645355646236
534,-1.36653154442041
535,-1.29413628771608
536,-1.69897000433602
540,-0.346208812612188
542,0.209515014542631
543,-1.80687540164554
544,-1.64781748188864
546,-0.1249387366083
547,-1.61083391563547
548,0.217483944213906
550,-1.07701518429112
552,-0.455931955649724
555,-1.47417804784334
556,-0.901356274182943
557,-0.823908740944319
558,-0.371611069949688
559,-1.27984069659404
561,-0.466609291982449
565,-1.82973828460504
566,-0.698970004336019
568,-1.47140464230593
570,-1.65757731917779
571,-0.130768280269024
573,-0.693574972449313
575,0.845200397364777
576,0.491361693834273
577,-0.823908740944319
579,-0.42021640338319
580,-3
581,0.528916700277655
582,-1.69897000433602
583,-0.744727494896694
584,-0.931814138253838
587,-1.02456819149074
588,-0.647142437593004
590,-1.21006691906825
591,-0.0969100130080564
593,0.279666944048456
601,-3.52287874528034
603,0.0180760636457951
606,-0.853871964321762
611,0.371067862271736
612,-2.09420411963213
616,-3.48811663902113
620,-1.20065945054642
621,-1.60205999132796
623,0.950364854376123
624,0.525044807036845
627,-2.02918838912748
628,-1.18708664335714
630,-1
631,-0.920818753952375
632,-1.67778070526608
633,-1.74472749489669
636,-1.33138115518326
637,-1.01772876696043
639,-0.657577319177794
642,-1.1249387366083
643,-0.389872386924005
644,-0.552841968657781
645,0.919731658311161
647,-2.09420411963213
651,0.728353782021229
652,1.64443858946784
653,-1.51570016065321
655,-1.77469071827414
663,-0.10790539730952
664,-1.58502665202918
665,-2.23043806415194
666,-1.17392519729917
668,-0.84163750790475
669,-0.385630160451711
670,-0.698970004336019
671,-1.04575749056068
672,0.397940008672038
673,-1
674,-2.39794000867204
679,-4.18708664335714
680,0.362482474751174
681,-1.18243463044022
682,-0.737905035325937
683,-2.11350927482752
684,-1.15490195998574
689,0.170261715394957
691,0.113943352306837
692,-0.346787486224656
695,-1.31425826139774
696,-1
697,-1
703,-1.82390874094432
705,-0.3767507096021
708,0.599337132992489
715,1.176525336535
718,-0.0433514207947967
719,0.663536031759629
721,-0.346787486224656
723,-1.85387196432176
727,-1.55284196865778
729,-0.619788758288394
735,-2.42021640338319
736,-0.0604807473813815
740,1.20290361346653
741,0.0413926851582251
744,-1.72124639904717
747,0.397940008672038
751,-1.86248764687787
756,-0.397940008672038
758,-2.46852108295774
759,-2.46852108295774
761,-0.42021640338319
762,-1.95194682688439
763,0.877946951629188
767,0.6232492903979
770,0
774,-1.42021640338319
778,-2.59345981956604
779,0.0238695013883322
780,-0.609064892896621
783,-0.337242168318426
785,1.41142608193366
786,-1.76955107862173
787,-3.2839966563652
789,-1
791,1.59466873129532
792,1.25527250510331
793,-0.809668301829709
794,1.36921585741014
795,-0.0969100130080564
797,-0.508638306165727
798,0.182557301304913
800,0.537819095073274
804,1.60292771285919
805,-2.76955107862173
808,-2.88605664769316
811,-1.98296666070122
813,0.339451441306441
814,-1.29242982390206
817,-0.0969100130080564
818,-0.363010898187771
819,1.91907809237607
821,-4.04575749056068
823,-2.82827354634677
825,-1.31024730386084
826,-0.346787486224656
