cid,name,dG0,dH0,z,nH,nMg,compound_ref,remark
543,"dimethylamine",58.08,,0,7,0,"Wagman (1982)",
543,"dimethylamine",-3.3,,1,8,0,"Wagman (1982)",
565,"trimethylamine",37.40,,1,10,0,"Wagman (1982)",
565,"trimethylamine",93.13,,0,9,0,"Wagman (1982)",
257,"D-Gluconate",-1128.3,,-1,11,0,training,"Thauer (1977)",
1326,"HCN",119.6,,0,1,0,"Wagman (1982)",
1326,"HCN",172.4,,-1,0,0,"Wagman (1982)",
5984,"2-Hydroxybutanoic acid",-506.3,,-1,7,0,"Thauer (1977)",
5361,"hydrazine",128.03,,0,4,0,"Thauer (1977)",
6547,"ethylene",81.43,,0,4,0,"Wagman (1982)",
9306,"Sulfur dioxide",-300.71,,0,0,0,"Thauer (1977)",
320,"thiosulfate",-513.4,,-2,0,0,"Thauer (1977)",
