CID,name,nH,nMg,nC,nN,nO,nS,nP,ne-
279,D-Erythrose 4-phosphate,7,0,4,0,7,0,1,104
280,Androstenedione,26,0,19,0,2,0,0,156
282,Hydrogen,2,0,0,0,0,0,0,2
283,Hydrogen sulfide,1,0,0,0,0,1,0,18
288,HCO3-,1,0,1,0,3,0,0,32
294,Inosine,12,0,10,4,5,0,0,140
295,Orotate,3,0,5,2,4,0,0,80
296,Quinate,11,0,7,0,6,0,0,102
299,Uridine,12,0,9,2,6,0,0,128
300,Creatine,9,0,4,3,2,0,0,70
305,Magnesium cation,0,0,0,0,0,0,0,10
307,CDP-choline,25,0,14,4,11,0,2,256
309,D-Ribulose,10,0,5,0,5,0,0,80
310,D-Xylulose,10,0,5,0,5,0,0,80
311,Isocitrate,5,0,6,0,7,0,0,100
312,L-Xylulose,10,0,5,0,5,0,0,80
313,Oxalyl-CoA,31,0,23,7,19,1,3,436
314,Pyridoxine,11,0,8,1,3,0,0,90
318,L-Carnitine,15,0,7,1,3,0,0,88
322,2-Oxoadipate,6,0,6,0,5,0,0,84
327,L-Citrulline,13,0,6,3,3,0,0,94
331,Indolepyruvate,8,0,11,1,3,0,0,106
332,Acetoacetyl-CoA,36,0,25,7,18,1,3,444
333,D-Galacturonate,9,0,6,0,7,0,0,102
334,4-Aminobutanoate,9,0,4,1,2,0,0,56
337,(S)-Dihydroorotate,5,0,5,2,4,0,0,82
342,Thioredoxin,14,0,nan,nan,nan,nan,nan,nan
343,Thioredoxin disulfide,12,0,nan,nan,nan,nan,nan,nan
345,6-Phospho-D-gluconate,10,0,6,0,10,0,1,144
346,Ethanolamine phosphate,7,0,2,1,4,0,1,74
349,2-Methyl-3-oxopropanoate,5,0,4,0,3,0,0,54
352,D-Glucosamine 6-phosphate,13,0,6,1,8,0,1,136
354,"D-Fructose 1,6-bisphosphate",10,0,6,0,12,0,2,176
357,N-Acetyl-D-glucosamine 6-phosphate,14,0,8,1,9,0,1,158
360,dAMP,12,0,10,5,6,0,1,172
361,dGDP,13,0,10,5,10,0,2,220
362,dGMP,12,0,10,5,7,0,1,180
363,dTDP,14,0,10,2,11,0,2,208
364,dTMP,13,0,10,2,8,0,1,168
366,Urate,4,0,5,4,3,0,0,86
376,Retinal,28,0,20,0,1,0,0,156
379,Xylitol,12,0,5,0,5,0,0,82
385,Xanthine,4,0,5,4,2,0,0,78
387,Guanosine,13,0,10,5,5,0,0,148
390,Ubiquinol,28,0,nan,nan,nan,nan,nan,174
392,Mannitol,14,0,6,0,6,0,0,98
394,GDP-glucose,23,0,16,5,16,0,2,314
399,Ubiquinone,26,0,nan,nan,nan,nan,nan,172
407,L-Isoleucine,13,0,6,1,2,0,0,72
408,L-Pipecolate,11,0,6,1,2,0,0,70
414,Cyclohexanone,10,0,6,0,1,0,0,54
415,Dihydrofolate,19,0,19,7,6,0,0,232
417,cis-Aconitate,3,0,6,0,6,0,0,90
423,trans-Cinnamate,7,0,9,0,2,0,0,78
424,(S)-Lactaldehyde,6,0,3,0,2,0,0,40
429,"5,6-Dihydrouracil",6,0,4,2,2,0,0,60
437,N-Acetylornithine,14,0,7,2,3,0,0,94
438,N-Carbamoyl-L-aspartate,6,0,5,2,5,0,0,92
439,N-Formimino-L-glutamate,9,0,6,2,4,0,0,92
440,5-Methyltetrahydrofolate,23,0,20,7,6,0,0,242
441,L-Aspartate 4-semialdehyde,7,0,4,1,3,0,0,62
445,"5,10-Methenyltetrahydrofolate",20,0,20,7,6,0,0,238
455,Nicotinamide D-ribonucleotide,14,0,11,2,8,0,1,174
459,dTTP,14,0,10,2,14,0,3,248
463,Indole,7,0,8,1,0,0,0,62
468,Estrone,22,0,18,0,2,0,0,146
469,Ethanol,6,0,2,0,1,0,0,26
473,Retinol,30,0,20,0,1,0,0,158
474,Ribitol,12,0,5,0,5,0,0,82
475,Cytidine,13,0,9,3,5,0,0,128
476,D-Lyxose,10,0,5,0,5,0,0,80
482,Sinapate,11,0,11,0,5,0,0,118
491,L-Cystine,12,0,6,2,4,2,0,126
492,Raffinose,32,0,18,0,16,0,0,268
493,Shikimate,9,0,7,0,5,0,0,92
497,(R)-Malate,4,0,4,0,5,0,0,70
498,ADP-glucose,23,0,16,5,15,0,2,306
499,Allantoate,7,0,4,4,4,0,0,92
501,CDP-glucose,23,0,15,3,16,0,2,294
507,L-Rhamnose,12,0,6,0,5,0,0,88
508,L-Ribulose,10,0,5,0,5,0,0,80
515,D-Ornithine,13,0,5,2,2,0,0,72
522,(R)-Pantoate,11,0,6,0,4,0,0,80
534,Pyridoxamine,13,0,8,2,2,0,0,90
535,Testosterone,28,0,19,0,2,0,0,158
543,Dimethylamine,8,0,2,1,0,0,0,26
546,Methylglyoxal,4,0,3,0,2,0,0,38
552,meso-Tartaric acid,4,0,4,0,6,0,0,78
556,Benzyl alcohol,8,0,7,0,1,0,0,58
558,D-Tagaturonate,9,0,6,0,7,0,0,102
559,Deoxyadenosine,13,0,10,5,3,0,0,132
565,Trimethylamine,9,0,3,1,0,0,0,34
570,CDP-ethanolamine,19,0,11,4,11,0,2,232
575,"3',5'-Cyclic AMP",11,0,10,5,6,0,1,170
577,D-Glyceraldehyde,6,0,3,0,3,0,0,48
580,Dimethyl sulfide,6,0,2,0,0,1,0,34
581,Guanidinoacetate,7,0,3,3,2,0,0,62
583,"Propane-1,2-diol",8,0,3,0,2,0,0,42
588,Choline phosphate,13,0,5,1,4,0,1,98
590,Coniferyl alcohol,12,0,10,0,3,0,0,96
603,(-)-Ureidoglycolate,5,0,3,2,4,0,0,70
617,UDP-D-galacturonate,19,0,15,2,18,0,2,300
620,alpha-D-Ribose 1-phosphate,9,0,5,0,8,0,1,120
624,N-Acetyl-L-glutamate,9,0,7,1,5,0,0,100
631,2-Phospho-D-glycerate,4,0,3,0,7,0,1,96
636,D-Mannose 1-phosphate,11,0,6,0,9,0,1,136
644,D-Mannitol 1-phosphate,13,0,6,0,9,0,1,138
645,N-Acetyl-D-mannosamine,15,0,8,1,6,0,0,118
660,"D-Glucose 1,6-bisphosphate",10,0,6,0,12,0,2,176
664,5-Formiminotetrahydrofolate,22,0,20,8,6,0,0,248
666,"LL-2,6-Diaminoheptanedioate",14,0,7,2,4,0,0,102
668,alpha-D-Glucose 6-phosphate,11,0,6,0,9,0,1,136
672,2-Deoxy-D-ribose 1-phosphate,9,0,5,0,7,0,1,112
673,2-Deoxy-D-ribose 5-phosphate,9,0,5,0,7,0,1,112
680,"meso-2,6-Diaminoheptanedioate",14,0,7,2,4,0,0,102
683,(S)-Methylmalonyl-CoA,35,0,25,7,19,1,3,452
684,2-Dehydro-3-deoxy-L-arabinonate,7,0,5,0,5,0,0,78
689,"alpha,alpha'-Trehalose 6-phosphate",21,0,12,0,14,0,1,222
697,Nitrogen,0,0,0,2,0,0,0,14
705,dCDP,13,0,9,3,10,0,2,200
725,Lipoate,13,0,8,0,2,2,0,110
739,D-Lysine,15,0,6,2,2,0,0,80
740,D-Serine,7,0,3,1,3,0,0,56
756,1-Octanol,18,0,8,0,1,0,0,74
785,Urocanate,5,0,6,2,2,0,0,72
791,Creatinine,7,0,4,3,1,0,0,60
794,D-Sorbitol,14,0,6,0,6,0,0,98
795,D-Tagatose,12,0,6,0,6,0,0,96
798,Formyl-CoA,32,0,22,7,17,1,3,414
810,(R)-Acetoin,8,0,4,0,2,0,0,48
828,Menaquinone,24,0,nan,nan,nan,nan,nan,166
835,Sepiapterin,10,0,9,5,3,0,0,124
842,dTDP-glucose,24,0,16,2,16,0,2,294
849,Ethyl acetate,8,0,4,0,2,0,0,48
854,Cyclohexanol,12,0,6,0,1,0,0,56
861,L-Rhamnulose,12,0,6,0,5,0,0,88
864,Pantothenate,16,0,9,1,5,0,0,118
876,Coenzyme F420,36,0,29,5,18,0,1,404
877,Crotonoyl-CoA,36,0,25,7,17,1,3,436
882,Dephospho-CoA,33,0,21,7,13,1,2,360
885,Isochorismate,8,0,10,0,6,0,0,118
887,Nitrous oxide,0,0,0,2,1,0,0,22
905,D-Fructuronate,9,0,6,0,7,0,0,102
920,CoA-glutathione,46,0,31,10,22,2,3,560
922,"2,3-Dimethylmaleate",6,0,6,0,4,0,0,76
935,UDP-L-arabinose,20,0,14,2,16,0,2,278
940,2-Oxoglutaramate,6,0,5,1,4,0,0,76
944,3-Dehydroquinate,9,0,7,0,6,0,0,100
951,Estradiol-17beta,24,0,18,0,2,0,0,148
956,L-2-Aminoadipate,10,0,6,1,4,0,0,86
966,2-Dehydropantoate,9,0,6,0,4,0,0,78
975,Dihydroxyfumarate,2,0,4,0,6,0,0,76
979,O-Acetyl-L-serine,9,0,5,1,4,0,0,78
986,"1,3-Diaminopropane",12,0,3,2,0,0,0,42
989,4-Hydroxybutanoic acid,7,0,4,0,3,0,0,56
1005,O-Phospho-L-serine,6,0,3,1,6,0,1,96
1013,3-Hydroxypropanoate,5,0,3,0,3,0,0,48
1019,6-Deoxy-L-galactose,12,0,6,0,5,0,0,88
1080,Reduced coenzyme F420,38,0,29,5,18,0,1,406
1081,Thiamin monophosphate,16,0,12,4,4,1,1,180
1083,"alpha,alpha-Trehalose",22,0,12,0,11,0,0,182
1087,(R)-2-Hydroxyglutarate,6,0,5,0,5,0,0,78
1089,(R)-3-Hydroxybutanoate,7,0,4,0,3,0,0,56
1094,D-Fructose 1-phosphate,11,0,6,0,9,0,1,136
1096,Sorbitol 6-phosphate,13,0,6,0,9,0,1,138
