"cid","nH","z","dG0","estimated"
"517","32","0","-42.4302137206035","1"
"521","16","0","-170.869151122389","1"
"522","11","-1","-663.976294045355","1"
"522","12","0","-690.89447105936","1"
"525","13","1","-157.906341578028","1"
"525","11","-1","-112.444562792709","1"
"525","12","0","-130.988164564023","1"
"526","12","0","-533.043332610223","1"
"527","42","0","-523.088384200926","1"
"527","41","-1","-496.17020718692","1"
"530","6","0","-224.970772133599","1"
"531","39","-1","-406.868392758914","1"
"531","40","0","-433.786569772919","1"
"532","12","0","-796.640580167103","1"
"533","0","0","86.55","0"
"534","13","1","-300.147440198931","1"
"534","12","0","-281.603838427617","1"
"539","5","-1","-188.738770308569","1"
"539","6","0","-215.656947322575","1"
"540","42","0","89.3333637222575","1"
"542","13","-1","-813.380320431437","1"
"542","16","2","-885.760276230761","1"
"542","15","1","-858.842099216756","1"
"542","14","0","-831.923922202751","1"
"542","12","-2","-794.836718660123","1"
"543","7","0","-78.7469943953174","1"
"544","7","-1","-591.301092230828","1"
"544","8","0","-618.219269244833","1"
"545","10","0","-999.058635957178","1"
"545","9","-1","-972.140458943173","1"
"546","4","0","-247.252587556478","1"
"547","11","0","-408.970767140919","1"
"547","12","1","-427.514368912233","1"
"548","8","0","-168.615902465079","1"
"551","32","0","-2235.70553476613","1"
"552","5","-1","-1024.0000934497","1"
"552","6","0","-1050.9182704637","1"
"552","4","-2","-997.081916435693","1"
"553","20","0","-559.612332049942","1"
"555","9","0","-117.405137638933","1"
"555","10","1","-135.948739410247","1"
"556","8","0","-13.2388915324998","1"
"557","8","0","-291.635838913292","1"
"558","10","0","-1118.99703227389","1"
"558","9","-1","-1092.07885525988","1"
"559","14","1","-75.5441927130159","1"
"559","13","0","-50.8963655428252","1"
"565","9","0","90.6127161555573","1"
"566","42","0","-1043.84377215878","1"
"566","41","-1","-1016.92559514478","1"
"566","40","-2","-990.007418130774","1"
"568","8","1","-274.609269244305","1"
"568","7","0","-247.6910922303","1"
"568","6","-1","-229.147490458986","1"
"571","14","1","-454.689204578595","1"
"571","13","0","-436.145602807281","1"
"577","6","0","-440.02","0"
"579","16","-1","-47.3530563909395","1"
"579","15","-2","0.466943609074095","1"
"579","17","0","-95.1730563909531","1"
"580","6","0","-180.883224223688","1"
"581","8","1","-447.103312322104","1"
"581","7","0","-420.185135308098","1"
"581","6","-1","-401.641533536784","1"
"582","42","0","-2.87819648019087","1"
"583","8","0","-339.798556777399","1"
"584","31","-1","-638.883994149891","1"
"584","32","0","-665.802171163896","1"
"586","12","0","-765.916819892305","1"
"587","5","-1","-393.503504483022","1"
"587","6","0","-420.421681497027","1"
"590","12","0","-266.302515955292","1"
"596","5","-1","-325.017527608775","1"
"596","6","0","-351.93570462278","1"
"597","5","-2","-1539.18782927638","1"
"597","4","-3","-1512.26965226237","1"
"597","6","-1","-1575.56328902803","1"
"601","8","0","42.9981266943378","1"
