#
#  metacyc 14.6 Genes link table generated on Mon Dec 6, 2010
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
3418	P48735	IDH2	
G-11928	B1NF18	CYP719B1	
G-11929	C3K9X5	maiA	
G-11930	Q9KHJ9	encP	
G-11931	Q9KHL1	encH	
G-11932	Q9KHL0	encI	
G-11933	Q9KHK9	encJ	
G-11934	P93541	GDH1	
G-11935	P54767	GAD	
G-11936	Q84P54	GABA-TP1	
G-11937	Q84P53	GABA-TP2	
G-11939	P21685	crtI	
G-11940	B1Q3F6	SSR1	
G-11941	P27764	nthA	
G-11942	P27763	nthB	
G-11943	Q7WSJ4	OxdA	
G-11944	P82604	oxdA	
G-11945	P21219	nhhA	
G-11946	P21220	nhhB	
G-11947	P27765	amdA	
G-11949	Q9AGY7	gmhA	
G-11950	Q9AGY5	gmhB	
G-11951	Q9AGY8	hddA	
G-11952	Q9AGY6	hddC	
G-11954	P40487	DPH1	
G-11955	P32461	DPH2	
G-11956	Q3E840	DPH3	
G-11957	P47138	DPH4	
G-11958	P32469	DPH5	
G-11959	P00588	tox	
G-11960	P11439	toxA	
G-11961	A3SK19	dddP	
G-11962	Q0JL46	Os01g43520	
G-11964	Q4WZ67	FgaPT1	
G-11965	C5Y4Z2	ARS1	
G-11966	C5YZM6	ARS2	
G-11967	Q4WZ64	FgaAT	
G-11970	Q5KQH7	CYP714D1	
G-11971	B6D5I7	fgaMT	
G-11972	Q3ZFI7	GAR1	
G-11973	A8DRH9	GAAA	
G-11974		GAAB	
G-11975	Q0QWS4	LGD1	
G-11976	A6Y9S5	LGA1	
G-11978	Q0GYU5	GLD1	
G-11981	Q7CRQ0	udh	
G-11983	B0G0W7	udh	
G-11987	C0SJS3	CYP71AJ4	
G-11988	Q6QNI4	CYP71AJ1	
G-11989	P07147	Tyrp1	
G-11991	P29812	Dct	
G-11992	Q2PBY6	CLOA	
G-11994	Q6FFQ2	gudD	
G-11995	Q6FFQ1	kdgD	
G-11996	Q6FFQ0	ACIAD0131	
G-11997	P42206	gudD	
G-11999	O94205	LPS	
G-120		6-hdno	
G-12000	Q6X2E0	dmaW1	
G-12002		CloA	
G-12003	A4IT51	GTNG_3160	
G-12004	A4IT48	nbaC	
G-12005	A4IT47	nbaD	
G-12006	P31005	mdh	
G-12007	C5MRT8	mdo	
G-12008	Q58786	dapL	
G-12009	Q9I6Z0	PA0142	
G-12010		mrsA	
G-12011		mrsB	
G-12012	Q05528	kduD	
G-12013	P45416	kdgK	
G-12014	P38448	kdgA	
G-12015	Q5ZC82	LOG	
G-12018		hoxE	
G-12019	P74024	hoxF	
G-12020	P74022	hoxU	
G-12021	P74021	hoxY	
G-12022	P74018	hoxH	
G-12023	Q9ZAK3	hupS	
G-12024	Q9ZAK2	hupL	
G-12025	P0C1A9	pemA	
G-12026	P21258	ogl	
G-12027	Q05526	pelW	
G-12029	P0C1A5	pelE	
G-12030	B4FHU1	Z-ISO	
G-12031	P15922	pehX	
G-12032	P0C1A3	pelA	
G-12033	Q59420	pelC	
G-12034		ZDS	
G-12037		pgi	
G-12038		pgmA	
G-12039	Q03161	YMR099C	
G-12041	B3TKC8	PGT1	
G-12042	P19410	baiCD	
G-12043	Q9HKT2	lplB	
G-12044	Q9HKT1	lplA	
G-12045	A7MAS4	CHS	
G-12046	Q9UWR6	fgs	
G-12047	Q97W92	gdS-2	
G-12048	P54965	cbh	
G-12049	Q47RM6	Tfu_0853	
G-12050	Q9HH76	uppS	
G-12051	Q9KK62	bsh	
G-12052	D4N1M3	GI:289466125	
G-12053		NphT7	
G-12054	Q9S3U5	hdhA	
G-12055	O85057	pOT435	
G-12056	P60068	clrA	
G-12057	P60069	clrB	
G-12058	P60000	clrC	
G-12059	B1AAM3	cld	
G-12060	Q4G1W1	pcrC	
G-12061	Q4G1W2	pcrB	
G-12062	Q84AD6	pcrA	
G-12063	Q8KP26	cld	
G-12064	Q84NI6	aga2	
G-12065	Q84NI7	aga1	
G-12066	B6V3B9	GALK	
G-12067	Q19TV7	UT	
G-12068	Q0GZS3	UGGPase	
G-12069	Q9A7T6	lacA	
G-12070	Q9A7T8	lacB	
G-12071	Q9A7T5	lacC	
G-12072	C3UVB6	dpaAa	
G-12073	C3UVB9	dpaAc	
G-12074	C3UVB8	dpaAd	
G-12075	O96437	M1PDH	
G-12076	Q76KR6	tdnA1	
G-12077	Q76KR5	tdnA2	
G-12078	Q76KR4	tdnB	
G-12079	Q76KR8	tdnQ	
G-12080	Q76KR7	tdnT	
G-12081	O43980	AF032462	
G-12082	Q8VUT0	qhnDH-a	
G-12083	Q8VUS7	qhnDH-b	
G-12084	Q8VUS8	qhnDH-c	
G-12085	B1N7H2	peaA	
G-12086	B1N7G9	peaD	
G-12087	B1N7H0	peaC	
G-12088	B1N7H3	peaE	
G-12089	Q9RBF6	gabD	
G-12090	Q4KKA2	gabD	
G-12091	D5IGG0	carAa	
G-12092	D5IGG4	carAc	
G-12093	D5IGG6	fdr	
G-12094		LFS	
G-12095		cdhA	
G-12096		cdhB	
G-12097		cdhC	
G-12098	D5J9U8	GAO1	
G-12099	D5JBW8	GAO1	
G-121		kdhA	
G-12100	D5JBX1	GAO1	
G-12101	Q6TAS3	ADCS	
G-12103	Q9WYT0	thyX	
G-12107	Q8GI19	carBa	
G-12108	Q8GI18	carBb	
G-12109	Q9AQM4	carC	
G-12110	O84637	CT632	
G-12111	O26061	thyX	
G-12113	P66930	thyX	
G-12116	Q9ZE77	dcd	
G-12117	O82705	UAM1	
G-12118	Q0P8G4	dut	
G-12119	P61136	ndk	
G-12120	O33839	nrdJ	
G-12121	P95484	rnr	
G-12124	O84834	nrdA	
G-12125	O84835	nrdB	
G-12126	O05891	tmk	
G-12127	P67044	thyA	
G-12128	Q8IZP7	HS6ST3	
G-12129	P59807	ChABCI	
G-12130	C7S340	ChABCII	
G-12131	Q59288	cslA	
G-12132	Q46079	cslB	
G-12133	Q9KRL3	VC1624	
G-12134	Q9KRL4	VC1623	
G-12135	Q1V6P8	VC1625	
G-12136	Q8D8D2	VVI_3048	
G-12137	Q9KQG2	asd	
G-12139	Q93AT8	AcsD	
G-12140		Psyr2584	
G-12141		Psyr2587	
G-12142	O43820	HYAL3	
G-12143		Psyr2589	
G-12144		hypC	
G-12146	Q681L5	bioA	
G-12147	Q68AP4	nfdA	
G-12148	Q8G9F9	inhA	
G-12152	Q2YIM3	DRL	
G-12153	B3IUN8	CAD1	
G-12154	O74699	Aco	
G-12155	Q9I476	PA1268	
G-12156	Q7D6W6	pgsA1	
G-12158	A5PCK8	mopA	
G-12159	Q9X3V2	cumA	
G-12160	Q45440	mnxG	
G-12161	A7KBU7	mnxG	
G-12162	P71431	mofA	
G-12163	Q2WCM0	moxA	
G-12164	Q24K54	lodA	
G-12165	Q46ZL2	Reut_A2057	
G-12166	Q9JP98	crtI	
G-12167	P95619	crtC	
G-12168	P95618	crtD	
G-12169	Q83YH7	crtF	
G-12170	Q83YH3	crtA	
G-12172	P13604	adh1	
G-12174	Q9ANR5	adhE2	
G-12175	Q8W1W8	CYP726A1	
G-12176	Q0K844	SauT	
G-12177	Q0K845	SauS	
G-12178	B0LDU5	PKS4	
G-12179		MKS2	
G-12180		MKS1	
G-12181	Q9GPQ4	F311701	
G-12182		AL10	
G-12183		AL21	
G-12184	Q9LEM9	Des6	
G-12185	Q9LEN0	Acet6	
G-12186	Q07010	HGPRT	
G-12187		CYP93G2	
G-12188	Q4KLZ6	Dak	
G-12189	Q1QWN6	slcC	
G-12190	Q1QWN5	comC	
G-12191	Q1QWP1	suyA	
G-12192	Q1QWP0	suyB	
G-12193	C3W7B0	CGT	
G-12194	Q58Y43	suyB	
G-12195	Q58Y44	suyA	
G-12196	Q5LL69	cuyA	
G-12197	B0L7F4	salM	
G-12198	B0L7F5	salL	
G-12199	B0L7E7	salT	
G-122		kdhB	
G-12200	B0L7F3	salN	
G-12201	B0L7G4	salH	
G-12202	B0L7F0	salQ	
G-12203	B0L7E8	salS	
G-12204	B0L7G3	salG	
G-12205	Q9R921	gtp1	
G-12207	Q9R919	gtp3	
G-12208	Q9R920	gtp2	
G-12209		salX	
G-1221		UGP	
G-12210		salW	
G-12211	B0L7F7	salA	
G-12212	B0L7F8	salB	
G-12214	Q38J50	OMT2	
G-12215	A4XBF0	Strop_3818	
G-12216	Q46N53	hpsN	
G-12217	Q46N54	hpsO	
G-12218	Q46N56	hpsP	
G-12221	D3WZ85	naaA	
G-12222	P52705	HNL	
G-12223	O24524	pLIN-GEN	
G-12224	O22574	HNL	
G-12225	A3SN06	slcD	
G-12226	A3SN11	comD	
G-12227	A3SN10	comE	
G-12228	A3SR26	pta	
G-12229	A3SR25	xsc	
G-12230	A3SQG3	cuyA	
G-12231	Q7X279	sdgA	
G-12232	Q8TKU7	MA_3297	
G-12233	Q8TKU6	comDE	
G-12234	Q7X280	sdgB	
G-12235	Q8TNI1	serC	
G-12236	Q58369	serC	
G-12237	Q7X281	sdgC	
G-12238	Q7X284	sdgD	
G-12239	Q70GK9	flA	
G-12240	Q1EMV9	flB	
G-12241	B6VP39	4-FTase	
G-12242	B6VP40	iso	
G-12243	Q67FT0	AY323951	
G-12244	Q1EMV2	flK	
G-12245	B5XZW2	mtnA	
G-12247	Q1MW86	sttH	
G-12248	P08457	sta	
G-12249	B2BH32	UBGAT	
G-12250	Q5NTH0	UGAT	
G-12251	Q9LRC8	SGUS	
G-12252	Q01398	dehH1	
G-12253	A4F2N8	thadh	
G-12254	B2DFG5	dthadh	
G-12256	Q9RPT1	rhlG	
G-12257	Q8GRC8	dhaa	
G-12258	Q845J6	paaA	
G-12259	Q845J5	paaB	
G-12260	Q845J4	paaC	
G-12261	Q845J2	paaE	
G-12262	Q845K1	paaG	
G-12263	Q845J8	paaJ	
G-12264	Q845K2	paaF	
G-12265	Q51559	rhlA	
G-12266	D2WKD9	SDR-1	
G-12267		JHAMT	
G-12268	Q767F1	JHAMT	
G-12269		CLS	
G-12270	Q51560	rhlB	
G-12271	Q6R7M3	CYP15A1	
G-12272	Q9VYT0	CG15739	
G-12273	Q9I4K5	rhlC	
G-12274	A5A8G0	CPS/KS	
G-12276	Q9I433	phnX	
G-12277	Q9I434	phnW	
G-12278	O69054	ptxD	
G-12279	Q5GJ60	TPS6	
G-12280	Q5JHF1	TK2141	
G-12281	Q5JIZ8	TK1686	
G-12282	P74334	sll1541	
G-12283	Q9UVY5	CPS/KS	
G-12284	O85207	phaG	
G-12285	Q51718	phaZ	
G-12286		CYP71BA1	
G-12287	Q939Q9	phaZ7	
G-12288	Q8KQ22	phaZ	
G-12289	Q56770	gumD	
G-12290	Q56779	gumM	
G-12291	Q56774	gumH	
G-12292	Q56777	gumK	
G-12293	Q56775	gumI	
G-12294	Q56772	gumF	
G-12295	Q56773	gumG	
G-12296	Q56778	gumL	
G-12297	Q44576	aceA	
G-12298	Q44577	aceB	
G-12299	Q44571	aceC	
G-123		kdhC	
G-12300	Q8RR90	aceQ	
G-12301	Q9XBL5	aceP	
G-12302	Q8RR91	aceR	
G-12303	O13284	FCPS/KS	
G-12304	D0U690	XPT1	
G-12305	Q47KB1	DyP	
G-12306	B9W4V6	APO1	
G-12307	P49053	CPO	
G-12309	O81270	CLO1	
G-12310	Q8KQ23	phaC1	
G-12311	Q8KQ21	phaC2	
G-124	P72156	atzA	
G-1241		pgm II	
G-1242	P55229	ApL1	
G-1243		ApS1	
G-125	O32755	gap	
G-126	O32756	pgk	
G-1261		At2g27450	
G-128	Q5NJY7	eno	
G-1281		dxnA1	
G-1282		dxnA2	
G-1283		dbfB	
G-1284		dxnB	
G-130	Q9ZEU7	ectB	
G-1301		STGLS	
G-1302		STGLL	
G-131	Q9ZEU8	ectA	
G-132	Q9ZEU6	ectC	
G-1321		potato starch synthase I	
G-1322	Q43846	potato starch synthase III	
G-1323		SBEI	
G-1324		SBEII	
G-133		sorE	
G-134		sorD	
G-135	P29051	gdhB	
G-136	P19413	baiF	
G-1361		hsk	
G-137	P25163	atpA	
G-138	P25164	atpB	
G-1382		aksA	
G-1383	Q58409	aksD	
G-1384	Q58991	aksF	
G-1385	Q58780	aksE	
G-139	P19409	baiB	
G-140	P07914	baiA1	
G-141	P19337	baiA2	
G-142	P07914	baiA3	
G-1421		TAG1	
G-143	P19412	baiE	
G-144	P09924	deoC	
G-1441		ATR1	
G-1442		ATR2	
G-145		arcA	
G-146	P75124	galU	
G-1461	O52645	ntnD	
G-1462	Q9FD36	pnbA	
G-1463	Q9FD33	pnbB	
G-147	P75517	galE	
G-148	P75250	ppa	
G-149	Q48296	arcB	
G-150	Q48295	arcC	
G-1502	O66187	scnA	
G-1503	O66186	scnB	
G-1504	O66188	scnC	
G-151	P75050	manB	
G-152	P78007	ldh	
G-153	P75359	pta	
G-154	P75245	ackA	
G-1541		sst-1	
G-1542		fft-1	
G-1543		6G-FFT	
G-1544	Q96466	6-SFT	
G-155	P78008	mtlD	
G-156	P75526	gmk	
G-1561		AMY1	
G-157	P75044	prsA	
G-158	P78027	nrdE	
G-1581	O87278	stcD	
G-1582		stc2	
G-1583		stc3	
G-1584		stc4	
G-1585		AMY2	
G-1586		SEX4	
G-1587		DBE1	
G-1588		zpu1	
G-159	P75461	nrdF	
G-1590		DPE1	
G-1591		dpep	
G-16		PCS	
G-160	P78028	folA	
G-1601		1-FEH w1	
G-1602		1-FEH w2	
G-161	P75096	folD	
G-162	P78011	glyA	
G-1622	Q57703	comA	
G-1623	Q58540	comB	
G-1624	Q58820	comC	
G-1625	P58415	comD	
G-1626	P58416	comE	
G-163	P75393	pdhD	
G-164	P75522	rpe	
G-1641		GPIS	
G-165	P75611	tktA	
G-166	P75392	pdhC	
G-1662		ICS	
G-167	P75390	pdhA	
G-168	P75391	pdhB	
G-1681		CesA1	
G-1682		CesA3	
G-1683		CesA6	
G-1684		CesA4	
G-1685		CesA7	
G-1686		CesA8	
G-1687		KOR	
G-169	P75053	deoD	
G-170	P75388	apt	
G-171	Q50299	adk	
G-172	P75052	deoA	
G-1721	P11444	mdlA	
G-1722	P20932	mdlB	
G-1723	P20906	mdlC	
G-1725	Q84DC3	mdlD	
G-173	P75070	tdk	
G-174	P75106	tmk	
G-1741		qua1	
G-175	P78029	thyA	
G-176	P75081	upp	
G-1761		tmoF	
G-1762		tmoC	
G-1764		tmoD	
G-1765		tmoA	
G-1766		tmoB	
G-1767		tmoE	
G-177	P75165	pyrH	
G-178	P75217	udk	
G-1782		PG	
G-179	P75051	cdd	
G-18	P56744	dat	
G-180	P75308	cmk	
G-1801	Q40412	ABA2	
G-181	P75119	hpt	
G-182	P56838	galK	
G-1821		At5g08170	
G-183	O33836	galT	
G-184	P75218	arcA	
G-1841	O52642	ntnC	
G-1842	O52643	ntnM	
G-1843	O52644	ntnA	
G-185	P75473	arcB	
G-186		arcC	
G-187		atpB	
G-188		atpF	
G-189		atpE	
G-19		speC	
G-190		atpA	
G-191		atpD	
G-192		atpG	
G-1921	P11099	lacC	
G-1922	P11100	lacD	
G-193		atpH	
G-194		atpC	
G-1941	P0C1R5	lacA	
G-1942	P0C1R6	lacB	
G-1943	P11175	lacG	
G-195	P75531	trxB	
G-196	P78033	pgi	
G-1961	Q46978	hpaG	
G-197	P75476	pfkA	
G-198	P75089	fba	
G-1981		LacZ	
G-199	P78010	tpiA	
G-20	P40974	puo	
G-200	P75358	gapA	
G-2001	Q57160	hpaB	
G-2002	Q57501	hpaC	
G-2003	Q46980	hpcB	
G-2004	Q46979	hpaE	
G-2005	Q46981	hpaF	
G-2006	Q46982	hpcG	
G-2007	Q47098	hpaI	
G-201	P78018	pgk	
G-202	P75167	pgm	
G-203	P75189	eno	
G-204		pyk	
G-205		gdh	
G-206		glpK1	
G-2061	P21394	xylA	
G-2062	P21395	xylM	
G-2063	P39849	xylB	
G-2065	P43503	xylC	
G-207		glpK2	
G-208	P36205	glnA	
G-2081	P23099	xylX	
G-2082	P23100	xylY	
G-2083	P23101	xylZ	
G-2084	P23102	xylL	
G-209	P96111	pyrBI	
G-210		galA	
G-2101	Q9APM5	tpa	
G-211		hisB	
G-212		hisC	
G-213		hisD	
G-214		ldh	
G-215	Q60034	dyrA	
G-216		hisG	
G-217		hisI-E	
G-218		hisA	
G-2181	Q8GQN9	bcla	
G-219		hisF	
G-220		hisH	
G-2201		nahAc	
G-2202		nahAd	
G-221	P36204	pgk	
G-222	P17721	gap	
G-2221	Q9F7E0	chnA	
G-2222	Q9R2F5	chnB	
G-2223	Q9F7D7	chnC	
G-2225	Q9R2F4	chnE	
G-223		eno	
G-224	O05651	porA	
G-2241	Q9AIX6	boxA	
G-2242	Q9AIX7	boxB	
G-2243	Q6RZZ8	puuD	
G-2245		puuF	
G-225	Q56317	porB	
G-226	O05650	porC	
G-2261	Q8RNY0	PmdA	
G-2262	Q8RNX9	PmdB	
G-227	Q56316	porD	
G-228	Q9X0L4	pta	
G-2283	Q93PS9	pmdE	
G-2284	Q93PS8	pmdF	
G-2285	P00437	pcaH	
G-2286	P00436	pcaG	
G-2287	P32427	pcaB	
G-2288	P00881	pcaC	
G-2289	Q88N36	pcaD	
G-229	Q9WYB1	ackA	
G-2290	Q01103	pcaI	
G-2291	Q01104	pcaJ	
G-2292	Q51956	pcaF	
G-230		STS	
G-2301		choline monooxygenase	
G-2302		gbsA	
G-231	Q56320	trpF	
G-232	Q56319	trpC	
G-2321		nahAa	
G-2322		nahAb	
G-2326		PDS1	
G-2341		VTE3	
G-235	O52683	hydA	
G-236	O52682	hydB	
G-2361		VTE1	
G-2362		G-TMT	
G-237	O52681	hydC	
G-238	Q08653	trpE	
G-2381	P77072	merB	
G-239	Q08654	trpGD	
G-240		had	
G-2401	P0A433	opd	
G-2402	P0A434	opd	
G-241		oah	
G-242		bcrA	
G-2421		ebdA	
G-2422		ebdB	
G-2423		ebdC	
G-243		bcrB	
G-244		bcrC	
G-2441		merA	
G-245		bcrD	
G-246		dch	
G-247		luxA	
G-248		luxB	
G-2481	P06622	xylE	
G-2482	P23105	xylG	
G-2483	P23107	xylJ	
G-2484	P51019	xylK	
G-2485	Q9AEQ0	catA	
G-2486	P08310	catB	
G-2487	P00948	catC	
G-250	P24040	nirS	
G-251	A4VHZ2	narG	
G-252	A4VHZ3	narH	
G-253	P98008	norB	
G-254	Q52527	norC	
G-2543	Q93PS7	pmdD	
G-2545	Q9KWL3	ligC	
G-2546	O87170	ligI	
G-2547	Q9KWL6	ligJ	
G-2548	Q9AQI0	proA	
G-2549	Q8RQW0	ligK	
G-255	P19573	nosZ	
G-256		dhlB	
G-257	P51697	linA	
G-258	P51698	linB	
G-259	P50197	linC	
G-260	P95806	linD	
G-261	Q9WXE6	linE	
G-262	P42535	pcpB	
G-263	Q03520	pcpC	
G-264	Q9ZBB0	pcpA	
G-265		dhlA	
G-268	P94681	tsaC	
G-2681		xsc	
G-2682		tauX	
G-2683		tauY	
G-269	P94682	tsaD	
G-27	Q59086	quiA	
G-270		psbA	
G-271	Q7M1C7	psbC	
G-272		aroJ	
G-2721	P39197	pta	
G-2722	Q93PS3	xsc	
G-2723		tpa	
G-2724		xsc	
G-273		speA	
G-274	P70999	speB	
G-275		speE	
G-276		hisC	
G-277		rocD	
G-278		rocA	
G-279		aroA	
G-280		aroB	
G-281		aroC	
G-282		aroD	
G-283		aroI	
G-284		aroE	
G-285		aroF	
G-286		aroH	
G-287		pheA	
G-288		rocF	
G-289		argJ	
G-29	Q9I6J9	aguA	
G-290		argB	
G-291		argC	
G-292		argD	
G-293		argF	
G-294		argG	
G-295		argH	
G-296		carA	
G-2961	P23006	madA	
G-2962	P22641	madB	
G-2965	Q49124	mauB	
G-2966	P00372	mauA	
G-2967	Q59542	mauB	
G-2968	Q59543	mauA	
G-2969	P29894	mauB	
G-297		carB	
G-2970	P22619	mauA	
G-298		argE	
G-2981	P16027	mxaF	
G-2982	P14775	mxaI	
G-2983	P12293	mxaF	
G-2984	P29898	moxI	
G-2987	P15279	mxaF	
G-2988		mxaI	
G-299		bioA	
G-300		bioD	
G-3001	P55818	mtdA	
G-3002	Q83WS0	ftfL	
G-3003	Q49135	fchA	
G-301		bioB	
G-3021		iaglu	
G-303	P25503	hutU	
G-304	P42084	hutI	
G-3041	Q9FA38	fae	
G-305	P42068	hutG	
G-306	O07819	soxD	
G-3061	O85014	mch	
G-307		soxC	
G-308	P72177	soxB	
G-309	O33434	soxA	
G-31	P27338	MAOB	
G-310	P31892	hoxK	
G-3106		folD	
G-311	P31891	hoxG	
G-312	P22318	hoxU	
G-3121	P45382	flhA	
G-313	P22317	hoxF	
G-314	P22319	hoxY	
G-3141		adhI	
G-3142		gfa	
G-3143		fghA	
G-315	P22320	hoxH	
G-316	O07821	soxF	
G-3161		fdhA	
G-317	O33435	soxE	
G-318		bioF	
G-3181		iar3	
G-3182		ill2	
G-3184		rmpA	
G-319	O87725	proC	
G-32	Q59087	quiB	
G-320	Q9Z4Q7	prdB	
G-3201		hps	
G-3202		rmpB	
G-3203		rmpB	
G-321		bioW	
G-322		mvhD	
G-323		mvhA	
G-324		hdrC	
G-325		hdrB	
G-326		hdrA	
G-3263	P77908	fdhA	
G-3264	P77907	fdhB	
G-3265	P21164	ftfL	
G-3266	O08375	fdh	
G-327		mtrH	
G-328		mtrG	
G-3281		gckA	
G-3282		eno	
G-3283	Q84FY8	mdh	
G-3284	P53594	mtkA	
G-3285	P53595	mtkB	
G-3286	O08374	sgaA	
G-329		mtrF	
G-330		mtrE	
G-3301		sgaA	
G-331		mtrD	
G-332		mtrC	
G-333		mtrB	
G-334		mtrA	
G-335	O27233	mcrG	
G-336	O27236	mcrB	
G-3361		AmAS1	
G-337	O27232	mcrA	
G-338	P21112	mrtG	
G-339	P21111	mrtB	
G-340	P21110	mrtA	
G-341		mvhG	
G-342		nifQ	
G-3421		OJ1754_E06.14	
G-343		nifN	
G-344		nifE	
G-3441		CHI_MAIZE	
G-345		nifB	
G-346	O27002	fmdC	
G-347		fmdB	
G-348		fwdA	
G-349		fwdD	
G-350		fwdC	
G-3501	P28327	GRK1	
G-351		fwdB	
G-352		ftr	
G-353		mch	
G-354		mtd	
G-355	O27211	hmd	
G-356	O27784	mer	
G-357		pta	
G-358		cdhC	
G-359		cdhE	
G-36	Q43922	quiC	
G-360		cdhD	
G-3601		IFS1	
G-361		cdhB	
G-362		cdhA	
G-3621		IFS-Tp	
G-363		mcrG	
G-364		mcrB	
G-365		mcrA	
G-366	P00458	nifH	
G-367	P09772	nifK	
G-368	P00466	nifD	
G-3681		LjCHI1	
G-3683		LjCHI2	
G-3684		LjCHI3	
G-369		nifV	
G-37	Q9I6J8	aguB	
G-370		nifJ	
G-371		mtd	
G-372		mer	
G-373		mch	
G-374		ftr	
G-375		fmdF	
G-376		fmdE	
G-3765		kdgA	
G-3767		kdgK	
G-3769		TM0208	
G-377		fmdD	
G-3770	P13203	Ta0897	
G-3771		CHS5_SOYBN	
G-378		fmdC	
G-3782		6DCS_SOYBN	
G-3784		TA1347	
G-3789		GEPKR-1	
G-379		fmdB	
G-3790		pl-CHR	
G-38	P05091	ALDH2	
G-380		fmdA	
G-3801		SrCHR1	
G-3802		CHR7	
G-381		mtaB	
G-382		mtaA	
G-383		ack	
G-384		dsrB	
G-385		dsrA	
G-386		mcrG	
G-3861		CHMT_MEDSA	
G-387		mcrB	
G-388		mcrA	
G-3882	Q57573	MJ109	
G-389		hdrE	
G-390		hdrD	
G-391	P00467	nifD	
G-392	P11347	nifK	
G-393	P00456	nifH1	
G-394		rpe	
G-395		rpiA	
G-396		prk	
G-397		cbbS	
G-398		cbbL	
G-399		pgk	
G-400		gap2	
G-401		tpiA	
G-402		fbaA	
G-403		fbaB	
G-404		tktA	
G-405	P74324	fbp	
G-406		psaM	
G-407		psaL	
G-408		psaK	
G-409		psaJ	
G-410		psaI	
G-411		psaF	
G-412		psaE	
G-413		psaD	
G-414		psaC1	
G-415		psaB	
G-416		psaA	
G-417		isiA	
G-418		psbX	
G-4181		CYP81E7	
G-419		psbW	
G-420		psbV	
G-421		psbU	
G-422		psbT	
G-423		psbO	
G-424		psbN	
G-425		psbM	
G-426		psbL	
G-427		psbK	
G-428		psbJ	
G-429		psbI	
G-430		psbH	
G-431		psbF	
G-432		psbE	
G-433		psbC	
G-434		psbB	
G-435		psbD	
G-436		psbA1	
G-442	P33751	pad1	
G-444	P50107	glo1	
G-4441		fao1	
G-4442		fao2	
G-445	Q05584	glo2	
G-446	P09368	put1	
G-4461		CYP81E9	
G-447	P07275	put2	
G-451	P31688	tps2	
G-452	Q43135	cyp79A1	
G-454	Q00764	tps1	
G-4541		pgmA	
G-455	P04161	ade8	
G-456	P38972	ade6	
G-457	P21264	ade2	
G-458	P27616	ade1	
G-459	Q05911	ade13	
G-460	P54113	ade16	
G-461	P38009	ade17	
G-462	P80210	ade12	
G-4621	Q9X1I0	TM1469	
G-4622		HMM6	
G-463	P38625	gua1	
G-464	P04046	ade4	
G-465		ade5,7	
G-466	P08465	met2	
G-467	P19358	sam2	
G-468	P32582	CYS4	
G-469	P31373	CYS3	
G-470	P05694	met6	
G-471	P10659	sam1	
G-472	P08536	met3	
G-473	Q02196	met14	
G-474	P18408	met16	
G-475	P39692	met10	
G-476		met5	
G-4761		CYP81E3	
G-477	P06106	met17	
G-478	P55912	prpE	
G-479	Q56063	prpC	
G-480		phnA	
G-481	Q55053	ureA	
G-482	P50047	ureC	
G-483	Q55054	ureB	
G-484	O69787	betC	
G-487	P21632	cobB	
G-488	P21920	cobK	
G-489	P21921	cobL	
G-490	P21638	cobH	
G-491	P29933	cobS	
G-492	P29934	cobT	
G-493	P54998	dszC	
G-494	P54995	dszA	
G-495	P54997	dszB	
G-496	P13254	mdeA	
G-497	P21640	cobJ	
G-498	P21922	cobM	
G-499	P21636	cobF	
G-5	Q9HTP2	kauB	
G-500	P21633	cobC	
G-501	P21634	cobD	
G-502	P29931	cobP	
G-503	P29936	cobV	
G-504	P29929	cobN	
G-505	P29930	cobO	
G-506	P29932	cobQ	
G-507	Q56062	prpB	
G-508	P21631	cobA	
G-5081	P23630	lysA	
G-509	P21639	cobI	
G-510	P21637	cobG	
G-511		cmtAa	
G-512		cmtAb	
G-513		cmtAc	
G-514		cmtAd	
G-5147		CYP79D1	
G-515		cmtB	
G-516		cmtC	
G-5161		CYP79D2	
G-5162		CYP79D3	
G-5163		CYP79D4	
G-5164	Q6WAU1	ISPR	
G-5165	Q6WAU0	PR	
G-517		cmtD	
G-518		cmtE	
G-5181	Q5CAF5	MNR	
G-519		cmtF	
G-520		cmtG	
G-5201	Q5CAF4	MMR	
G-5209		ISPD	
G-521		cmtH	
G-522	O33456	cymAa	
G-5223		SM12	
G-523	O33457	cymAb	
G-524		cymB	
G-5241	Q9XHE6	PM2	
G-5242	Q9XHE7	PM17	
G-525		cymC	
G-526	P54205	cbbL	
G-5262	Q40322	LC	
G-5263	Q947B7	MFS	
G-527	P54206	cbbS	
G-528		RS	
G-5283	Q66QH3	DTS2	
G-529		AT5G38410	
G-530		AT5G38420	
G-531		AT5G38430	
G-534	Q8VPT7	bssA	
G-535	Q8VPT6	bssB	
G-536	Q8VPT8	bssC	
G-537	O87943	bssA	
G-538	O87944	bssB	
G-539	O87942	bssC	
G-543		pep1	
G-544		me3	
G-545	O07460	badD	
G-546	O07461	badE	
G-547	O07462	badF	
G-548	O07463	badG	
G-549	O07456	badI	
G-550	O07457	badH	
G-5521	P20048	SEC59	
G-5522	P07286	ALG7	
G-5541		OBT14DM	
G-5561	P16661	ALG1	
