cid, nH, z, dG0
546, 4, 0, -247.252587556478
547, 11, 0, -408.970767140919
547, 12, 1, -427.514368912233
548, 8, 0, -168.615902465079
551, 32, 0, -2235.70553476613
552, 5, -1, -1024.0000934497
552, 6, 0, -1050.9182704637
552, 4, -2, -997.081916435693
553, 20, 0, -559.612332049942
555, 9, 0, -117.405137638933
555, 10, 1, -135.948739410247
556, 8, 0, -13.2388915324998
557, 8, 0, -291.635838913292
558, 10, 0, -1118.99703227389
558, 9, -1, -1092.07885525988
559, 14, 1, -75.5441927130159
559, 13, 0, -50.8963655428252
565, 9, 0, 90.6127161555573
566, 42, 0, -1043.84377215878
566, 41, -1, -1016.92559514478
566, 40, -2, -990.007418130774
568, 8, 1, -274.609269244305
568, 7, 0, -247.6910922303
568, 6, -1, -229.147490458986
571, 14, 1, -454.689204578595
571, 13, 0, -436.145602807281
577, 6, 0, -440.02
579, 16, -1, -47.3530563909395
579, 15, -2, 0.466943609074095
579, 17, 0, -95.1730563909531
580, 6, 0, -180.883224223688
581, 8, 1, -447.103312322104
581, 7, 0, -420.185135308098
581, 6, -1, -401.641533536784
582, 42, 0, -2.87819648019087
583, 8, 0, -339.798556777399
584, 31, -1, -638.883994149891
584, 32, 0, -665.802171163896
586, 12, 0, -765.916819892305
587, 5, -1, -393.503504483022
587, 6, 0, -420.421681497027
590, 12, 0, -266.302515955292
596, 5, -1, -325.017527608775
596, 6, 0, -351.93570462278
597, 5, -2, -1539.18782927638
597, 4, -3, -1512.26965226237
597, 6, -1, -1575.56328902803
601, 8, 0, 42.9981266943378
603, 5, -1, -723.523115271017
603, 6, 0, -750.441292285023
604, 8, 0, 490.559797718352
618, 10, 0, -1106.34095982
618, 9, -1, -1079.42278280599
620, 10, -1, -1625.88
620, 9, -2, -1587.7
621, 44, -2, -1461.230682464
621, 43, -3, -1424.85522271235
623, 8, -1, -1373.14523323796
623, 7, -2, -1336.7697734863
627, 10, -2, -1287.20588833795
627, 11, -1, -1323.58134808961
628, 5, -1, -598.268238657475
628, 6, 0, -625.18641567148
630, 42, 0, -173.712680902486
631, 4, -3, -1496.38
631, 5, -2, -1539.99
632, 8, 1, -479.374003418758
632, 7, 0, -452.455826404752
632, 6, -1, -433.912224633438
633, 6, 0, -168.733753906761
636, 12, -1, -1791.32
636, 11, -2, -1754.56
637, 9, 0, 98.5275950430658
639, 34, 0, -953.450018109423
639, 33, -1, -926.531841095418
642, 7, -1, -386.536358056375
642, 8, 0, -413.45453507038
643, 13, 1, -362.67107575248
643, 11, -1, -317.209296967161
643, 12, 0, -335.752898738475
644, 13, -2, -1793.58
644, 14, -1, -1830.68
647, 13, 0, -1177.76893583688
